"#STN_ID,","STN_KO,","STN_SP,","LON,","LAT,","HT,","FCT_ID,","WRN_ID,","WRN_KO,",SFC_STN_ID=
지점번호,지점명,특성코드,경도,위도,해발고도,예보구역코드,특보구역코드,특보구역명,특보발표 대표지점번호
"367,","신현동,","A1100000,","126.78440000,","37.40610000,","26.00,","11B20202,","L1010500,","시흥시,","565,="
"368,","수택동,","A1100000,","127.15030000,","37.59920000,","49.00,","11B20501,","L1012200,","구리시,","569,="
"369,","수리산길,","A1100000,","126.91690000,","37.36420000,","124.00,","11B20610,","L1012600,","군포시,","438,="
"370,","이동묵리,","A1100000,","127.25000000,","37.17890000,","241.00,","11B20612,","L1012900,","용인시,","549,="
"371,","기흥구,","A1100000,","127.11640000,","37.27720000,","121.00,","11B20612,","L1012900,","용인시,","549,="
"372,","은현면,","A1100000,","127.02670000,","37.87220000,","108.00,","11B20304,","L1011600,","양주시,","598,="
"373,","남방,","A1100000,","127.04580000,","37.77060000,","163.00,","11B20304,","L1011600,","양주시,","598,="
"374,","청북,","A1110000,","126.97060000,","37.04670000,","50.40,","11B20606,","L1012500,","평택시,","551,="
"375,","백석읍,","A1100000,","126.98750000,","37.79190000,","150.00,","11B20304,","L1011600,","양주시,","598,="
"400,","강남,","01110000,","127.08162000,","37.49820000,","12.66,","11B10101,","L1100100,","서울동남권,","400,="
"401,","서초,","01100000,","127.02601000,","37.48462000,","33.05,","11B10101,","L1100100,","서울동남권,","108,="
"402,","강동,","01110000,","127.14498000,","37.55552000,","56.21,","11B10101,","L1100100,","서울동남권,","108,="
"403,","송파 *,","01100000,","127.09670000,","37.51151000,","58.26,","11B10101,","L1100100,","서울동남권,","108,="
"404,","강서,","01100000,","126.82953000,","37.57390000,","80.40,","11B10101,","L1100300,","서울서남권,","108,="
"405,","양천 *,","01100000,","126.87820000,","37.52961000,","11.93,","11B10101,","L1100300,","서울서남권,","108,="
"406,","도봉,","01110000,","127.02947000,","37.66612000,","56.65,","11B10101,","L1100200,","서울동북권,","108,="
"407,","노원,","01110000,","127.09192000,","37.62186000,","25.30,","11B10101,","L1100200,","서울동북권,","108,="
"408,","동대문,","01110000,","127.06036000,","37.58463000,","53.96,","11B10101,","L1100200,","서울동북권,","408,="
"409,","중랑,","01110000,","127.08682000,","37.58551000,","39.09,","11B10101,","L1100200,","서울동북권,","108,="
"410,","기상청,","01111210,","126.91809000,","37.49371000,","36.44,","11B10101,","L1100300,","서울서남권,","410,="
"411,","마포,","01110000,","126.92915000,","37.55165000,","100.67,","11B10101,","L1100400,","서울서북권,","108,="
"412,","서대문,","01100000,","126.94078000,","37.57047000,","103.08,","11B10101,","L1100400,","서울서북권,","108,="
"413,","광진,","01110000,","127.08566000,","37.53380000,","28.63,","11B10101,","L1100200,","서울동북권,","108,="
"414,","성북,","01110000,","126.99944000,","37.61172000,","128.62,","11B10101,","L1100200,","서울동북권,","108,="
"415,","용산 *,","01100000,","126.97611000,","37.52038000,","31.73,","11B10101,","L1100400,","서울서북권,","108,="
"416,","은평,","01100000,","126.94338000,","37.64639000,","57.92,","11B10101,","L1100400,","서울서북권,","108,="
"417,","금천,","01100000,","126.90016000,","37.46551000,","45.00,","11B10101,","L1100300,","서울서남권,","108,="
"418,","한강,","01110000,","126.93904000,","37.52489000,","10.66,","11B10101,","L1100300,","서울서남권,","108,="
"419,","중구,","01100000,","126.98736000,","37.55236000,","267.05,","11B10101,","L1100400,","서울서북권,","108,="
"421,","성동,","01110000,","127.03885000,","37.54721000,","34.73,","11B10101,","L1100200,","서울동북권,","108,="
"423,","구로,","01110000,","126.82700000,","37.49400000,","56.08,","11B10101,","L1100300,","서울서남권,","108,="
"424,","강북,","01110000,","127.02576000,","37.63972000,","57.29,","11B10101,","L1100200,","서울동북권,","108,="
"425,","남현,","01110000,","126.98550000,","37.46336000,","87.86,","11B10101,","L1100300,","서울서남권,","108,="
"426,","백령(레),","01111000,","124.63048000,","37.96611000,","147.29,","11A00101,","L1014100,","서해5도,","102,="
"427,","김포장기,","01111000,","126.67343000,","37.64279000,","10.54,","11B20102,","L1010700,","김포시,","427,="
"428,","하남덕풍,","01111000,","127.21284000,","37.55122000,","23.73,","11B20504,","L1012800,","하남시,","428,="
"430,","경기,","A1100000,","127.01183333,","37.27183333,","103.00,","11B20601,","L1011900,","수원시,","119,="
"431,","신곡,","A1100000,","127.07394444,","37.74602778,","67.00,","11B20301,","L1011700,","의정부시,","532,="
"432,","향남,","A1100000,","126.92045650,","37.13107000,","29.00,","11B20604,","L1013200,","화성시,","571,="
"433,","부천,","A1100000,","126.76658333,","37.49758333,","29.00,","11B20204,","L1010600,","부천시,","433,="
